,acousticness
1957,0.0765
1958,0.0153
1959,0.0901
1960,0.0172
1961,0.859
1962,0.18
1963,0.0683
1964,0.0183
1965,0.0111
1966,0.0038
1967,0.47
1968,0.606
1969,0.114
1970,0.24
1971,0.104
1972,0.00961
1973,0.0948
1974,0.124
1975,0.000541
1976,0.0104
1977,0.367
1978,0.779
1979,0.121
1980,0.619
1981,0.0342
1982,0.21
1983,0.00244
1984,0.0854
1985,0.19
1986,0.00953
1987,0.0127
1988,0.127
1989,0.084
1990,0.281
1991,0.0273
1992,0.0403
1993,0.257
1994,0.0273
1995,0.157
1996,0.0849
1997,0.268
1998,0.0144
1999,
2000,0.013
2001,0.36
2002,0.184
2003,0.0264
2004,0.385
2005,0.0111
2006,0.438
2007,0.0111
2008,0.0646
